lat,long,amenity,name,description,operator,brand,brand:wikipedia,density100,density200,density300,density500
43.0969006,131.867301,goverment,Vladivostok customs,Владивостокский таможенный пост,,,,0.0,752.0,1136.0,3917.0
43.1168825,131.8792176,atm,,,МДМ Банк,,,241.0,1272.0,2802.0,5950.0
43.13307800000001,131.8987251,culture,Москва,,,,,0.0,2953.0,8037.0,17514.0
43.1121594,131.8731153,nightclub,Наутилус,,,,,79.0,626.0,2167.0,6315.0
43.1128919,131.9324321,education,,,,,,1059.0,2300.0,3645.0,10021.0
43.1317087,131.91252340000003,atm,Банкомат Росбанка,,,,,326.0,2382.0,5191.0,12488.0
43.11550620000001,131.9354279,goverment,Нотариус,,,,,425.0,2360.0,2984.0,11026.0
43.13311760000001,131.9125506,atm,,,РосБанк,,,0.0,362.0,2728.0,9090.0
43.1171471,131.8885959,goverment,,,,,,538.0,2027.0,3084.0,5378.0
43.1162135,131.8814679,cafe,Studio Coffee,,,,,590.0,1388.0,2863.0,5414.0
43.118162100000006,131.8800294,cafe,Paparazzi,,,,,154.0,1003.0,1624.0,4696.0
43.1270206,131.9042875,bank,Примсоцбанк,,,,,120.0,1872.0,3536.0,9688.0
43.1252389,131.95569609999998,cafe,Столовая,,,,,309.0,1348.0,2387.0,8332.0
43.1261455,131.9428279,cafe,Корейская кухня,,,,,1202.0,2547.0,4392.0,9454.0
43.125375,131.9427743,medics,,,,,,398.0,2386.0,3967.0,8552.0
43.1269305,131.9424438,atm,Росбанк,,,,,1349.0,2218.0,4085.0,9391.0
43.12697429999999,131.9425124,education,Седан-B,,,,,1143.0,2218.0,3869.0,9391.0
43.1269531,131.9417571,education,,,,,,1224.0,2122.0,3652.0,9379.0
43.12647910000001,131.94174679999998,pharmacy,,,,,,1039.0,2218.0,3805.0,9613.0
43.1272086,131.9406604,bank,Восточный Экспресс Банк,,,,,704.0,2103.0,4112.0,11256.0
43.1272005,131.94051409999997,goverment,Адвокаты,,,,,365.0,2103.0,4112.0,12070.0
43.1659306,131.9125262,atm,Банкомат Тихоокеанского банка,,,,,0.0,0.0,615.0,8988.0
43.1684386,131.90935349999998,cafe,Азия,,,,,149.0,3334.0,5842.0,14508.0
43.0994701,131.9409186,pharmacy,,,,,,769.0,2821.0,5651.0,14205.0
43.0990654,131.9409586,post_office,Владивосток 690016,,АО «Почта России»,Почта России,ru:Почта России,1057.0,3036.0,5225.0,13064.0
43.0985965,131.952358,fuel,RS Нефть,,,,,0.0,464.0,1505.0,4849.0
43.11271729999999,131.9235354,medics,Дальзаводская поликлинника,,,,,690.0,2169.0,3542.0,5317.0
43.1054882,131.9380492,restaurant,Панда сад,,,,,477.0,1125.0,1416.0,6242.0
43.1052623,131.93792040000002,pharmacy,,,,,,489.0,1125.0,1599.0,6146.0
43.1052918,131.9376405,pharmacy,,,Премиум-М,,,633.0,993.0,1705.0,6232.0
43.1004662,131.9303358,post_office,Владивосток 690077,,АО «Почта России»,Почта России,ru:Почта России,860.0,2189.0,4172.0,11865.0
43.0983543,131.92598629999998,medics,,,,,,393.0,2043.0,2746.0,9145.0
43.098415,131.92625120000002,veterinary,,,,,,393.0,2009.0,2746.0,9517.0
43.0978935,131.9280406,pharmacy,Семейная,,,,,408.0,1857.0,3776.0,8639.0
43.0985211,131.9281751,pharmacy,,,,,,724.0,1741.0,3848.0,9679.0
43.093413700000006,131.9295814,car_wash,,,,,,0.0,428.0,908.0,3917.0
43.0932134,131.9308377,fuel,,,,,,0.0,128.0,1177.0,3971.0
43.0891843,131.9261682,fuel,Мега Тэк,,,,,38.0,57.0,292.0,2988.0
43.0889126,131.9222918,post_office,Владивосток 690017,,АО «Почта России»,Почта России,ru:Почта России,746.0,1997.0,3104.0,5501.0
43.0893964,131.9103873,fuel,МегаТэк,,,,,0.0,29.0,137.0,3409.0
43.0898795,131.9118949,car_wash,Анкер Авто,,,,,0.0,216.0,937.0,4514.0
43.1276126,131.8999304,bank,Восточный Экспресс Банк,,,,,895.0,2238.0,4899.0,14461.0
43.1154999,131.90704920000002,medics,Женская консультация,,"МУЗ ""Городской родильный дом""",,,108.0,519.0,1164.0,2829.0
43.1146744,131.9088597,bank,ВТБ Банк Москвы,,,ВТБ Банк Москвы,ru:Банк Москвы,237.0,550.0,1251.0,3443.0
43.1135187,131.9108801,bank,Интеза,,,,,44.0,827.0,1967.0,3643.0
43.1125927,131.919225,pharmacy,Ортопедия,,,,,306.0,1130.0,2233.0,4858.0
43.1120877,131.92083300000002,cafe,Точка Суши,,,,,667.0,1802.0,2985.0,4605.0
43.1125324,131.9272101,pharmacy,,,,,,424.0,1437.0,2207.0,8304.0
43.11465620000001,131.90905990000002,atm,Банк Москвы,,,,,237.0,550.0,1600.0,3443.0
43.11130429999999,131.9347901,bank,Росбанк,,,,,923.0,1439.0,2950.0,5979.0
43.11127000000001,131.9348761,atm,,,Росбанк,,,923.0,1439.0,2950.0,5979.0
43.1144728,131.9123531,medics,Детская поликлинника. Отделение востановительного лечения,,,,,359.0,2083.0,2510.0,3698.0
43.1145609,131.9123679,bank,ДВБ Банк,,,,,314.0,2083.0,2510.0,3698.0
43.1145304,131.9122743,education,Открытая (сменная) школа №1,,,,,359.0,2083.0,2510.0,3698.0
