lat,long,amenity,name,description,operator,brand,brand:wikipedia
43.0969006,131.867301,goverment,Vladivostok customs,Владивостокский таможенный пост,,,
43.1168825,131.8792176,atm,,,МДМ Банк,,
43.133078,131.8987251,culture,Москва,,,,
43.1121594,131.8731153,nightclub,Наутилус,,,,
43.1128919,131.9324321,education,,,,,
43.1317087,131.9125234,atm,Банкомат Росбанка,,,,
43.1155062,131.9354279,goverment,Нотариус,,,,
43.1331176,131.9125506,atm,,,РосБанк,,
43.1171471,131.8885959,goverment,,,,,
43.1162135,131.8814679,cafe,Studio Coffee,,,,
43.1181621,131.8800294,cafe,Paparazzi,,,,
43.1270206,131.9042875,bank,Примсоцбанк,,,,
43.1252389,131.9556961,cafe,Столовая,,,,
43.1261455,131.9428279,cafe,Корейская кухня,,,,
43.125375,131.9427743,medics,,,,,
43.1269305,131.9424438,atm,Росбанк,,,,
43.1269743,131.9425124,education,Седан-B,,,,
43.1269531,131.9417571,education,,,,,
43.1264791,131.9417468,pharmacy,,,,,
43.1272086,131.9406604,bank,Восточный Экспресс Банк,,,,
43.1272005,131.9405141,goverment,Адвокаты,,,,
43.1659306,131.9125262,atm,Банкомат Тихоокеанского банка,,,,
43.1684386,131.9093535,cafe,Азия,,,,
43.0994701,131.9409186,pharmacy,,,,,
43.0990654,131.9409586,post_office,Владивосток 690016,,АО «Почта России»,Почта России,ru:Почта России
43.0985965,131.952358,fuel,RS Нефть,,,,
43.1127173,131.9235354,medics,Дальзаводская поликлинника,,,,
43.1054882,131.9380492,restaurant,Панда сад,,,,
43.1052623,131.9379204,pharmacy,,,,,
43.1052918,131.9376405,pharmacy,,,Премиум-М,,
43.1004662,131.9303358,post_office,Владивосток 690077,,АО «Почта России»,Почта России,ru:Почта России
43.0983543,131.9259863,medics,,,,,
43.098415,131.9262512,veterinary,,,,,
43.0978935,131.9280406,pharmacy,Семейная,,,,
43.0985211,131.9281751,pharmacy,,,,,
43.0934137,131.9295814,car_wash,,,,,
43.0932134,131.9308377,fuel,,,,,
43.0891843,131.9261682,fuel,Мега Тэк,,,,
43.0889126,131.9222918,post_office,Владивосток 690017,,АО «Почта России»,Почта России,ru:Почта России
43.0893964,131.9103873,fuel,МегаТэк,,,,
43.0898795,131.9118949,car_wash,Анкер Авто,,,,
43.1276126,131.8999304,bank,Восточный Экспресс Банк,,,,
43.1154999,131.9070492,medics,Женская консультация,,"МУЗ ""Городской родильный дом""",,
43.1146744,131.9088597,bank,ВТБ Банк Москвы,,,ВТБ Банк Москвы,ru:Банк Москвы
43.1135187,131.9108801,bank,Интеза,,,,
43.1125927,131.919225,pharmacy,Ортопедия,,,,
43.1120877,131.920833,cafe,Точка Суши,,,,
43.1125324,131.9272101,pharmacy,,,,,
43.1146562,131.9090599,atm,Банк Москвы,,,,
43.1113043,131.9347901,bank,Росбанк,,,,
43.11127,131.9348761,atm,,,Росбанк,,
43.1144728,131.9123531,medics,Детская поликлинника. Отделение востановительного лечения,,,,
43.1145609,131.9123679,bank,ДВБ Банк,,,,
43.1145304,131.9122743,education,Открытая (сменная) школа №1,,,,
43.1173677,131.8887427,bank,Росбанк,,,,
43.1174339,131.888766,atm,,,Rosbank,,
43.117296,131.8891708,bank,Росбанк,,,,
43.1170642,131.8890105,bank,Сбербанк,,,,
43.1163004,131.8999072,veterinary,Дар,,,,
43.1154314,131.8884846,bank,Восточный Экспресс Банк,,,,
43.1153795,131.8884983,restaurant,Чёрный дракон,,,,
43.115441,131.8880176,atm,ДВ Банк,,,,
43.115044,131.8900431,post_office,Владивосток 690091,,АО «Почта России»,Почта России,ru:Почта России
43.1150147,131.8904752,atm,,,СвязьБанк,,
43.114979,131.8903489,bank,Связь Банк,,,,
