long,lat,name,brand,amenity,website,operator,description,brand:wikipedia,contact:website
131.955804,43.15153,Светофор, магазин,,grocery,,Светофор,,
131.906364,43.127140000000004,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.95878100000002,43.097485,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.920743,43.16401,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.86086799999998,43.089582,Самбери, сеть гипермаркетов,,grocery,,Самбери,,
131.942266,43.131132,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.916969,43.102222,Самбери, сеть гипермаркетов,,grocery,,Самбери,,
131.920411,43.180433,Михайловский, супермаркет,,grocery,,Михайловский,,
131.903019,43.100468,Самбери, сеть гипермаркетов,,grocery,,Самбери,,
131.906877,43.165166,Самбери, сеть гипермаркетов,,grocery,,Самбери,,
131.928777,43.135555,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.876224,43.110469,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.929179,43.100513,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.95668700000002,43.123036,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.911251,43.148842,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.909476,43.164724,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.914129,43.155359000000004,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.923431,43.088097,Адмирал, мини-маркет,,grocery,,Адмирал,,
131.916291,43.131475,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.896344,43.093844,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.921495,43.119355,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.949936,43.126542,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.890357,43.133269,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.937602,43.110769,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.884105,43.118653,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.950917,43.212356,Самбери, сеть гипермаркетов,,grocery,,Самбери,,
131.936076,43.17277,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.940683,43.099332000000004,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.892968,43.129422,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.952685,43.162729,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.945824,43.105203,Радиус, продуктовый дискаунтер,,grocery,,Радиус,,
131.92588899999998,43.112016,Стрелец, супермаркет,,grocery,,Стрелец,,
131.909803,43.149159999999995,Экономыч, сеть дискаунтеров,,grocery,,Экономыч,,
131.924995,43.1689,Мандарин, супермаркет,,grocery,,Мандарин,,
131.912345,43.12096,Радиус, продуктовый дискаунтер,,grocery,,Радиус,,
131.919794,43.173056,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.879664,43.1244,Радиус, продуктовый дискаунтер,,grocery,,Радиус,,
131.93261299999998,43.119238,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.925822,43.129587,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.913572,43.145158,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.970295,43.091595,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.880719,43.116789000000004,Tiko, мини-маркет,,grocery,,Tiko,,
131.89533,43.135397999999995,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.86269199999998,43.093782,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.961499,43.111816999999995,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
132.021037,43.248319,Космос, супермаркет,,grocery,,Космос,,
131.925567,43.17373,Парус, сеть супермаркетов,,grocery,,Парус,,
131.905803,43.087138,Тихоокеанский, супермаркет,,grocery,,Тихоокеанский,,
131.958481,43.103396999999994,Парус, сеть супермаркетов,,grocery,,Парус,,
131.901397,43.12230200000001,Фасоль, мини-маркет,,grocery,,Фасоль,,
131.913783,43.095991999999995,Мечта, супермаркет,,grocery,,Мечта,,
132.069881,43.284215,Светофор, магазин,,grocery,,Светофор,,
131.919911,43.114024,Квартет вкусов, магазин,,grocery,,Квартет вкусов,,
131.948704,43.170633,Жасмин,,grocery,,Жасмин,,,
131.877964,43.108979999999995,Salat, магазин правильного питания,,grocery,,Salat,,
132.062571,43.299363,Андромеда плюс, супермаркет,,grocery,,Андромеда плюс,,
131.908802,43.176308,Квартет вкусов, магазин,,grocery,,Квартет вкусов,,
131.92601299999998,43.15400800000001,Платинум, мини-маркет,,grocery,,Платинум,,
131.91348200000002,43.185357,МОЙ МАРТ, мини-маркет,,grocery,,МОЙ МАРТ,,
131.92615800000002,43.157489,Восток, супермаркет,,grocery,,Восток,,
131.85191899999998,43.082827,Квартет вкусов, магазин,,grocery,,Квартет вкусов,,
131.99608700000002,43.307808,Экономыч, сеть дискаунтеров,,grocery,,Экономыч,,
131.86406499999998,43.102321999999994,Купер, минимаркет,,grocery,,Купер,,
131.94016499999998,43.102484999999994,Квартет вкусов, магазин,,grocery,,Квартет вкусов,,
132.064891,43.281758,Экономыч, сеть дискаунтеров,,grocery,,Экономыч,,
131.937675,43.204840999999995,Хуторок, магазин,,grocery,,Хуторок,,
131.956176,43.216982,МОЙ МАРТ, мини-маркет,,grocery,,МОЙ МАРТ,,
131.967165,43.089985999999996,Ортена, продовольственный магазин,,grocery,,Ортена,,
132.138964,43.342176,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.952205,43.113245,Оазис, супермаркет,,grocery,,Оазис,,
131.915708,43.140654999999995,Дарья, супермаркет,,grocery,,Дарья,,
131.972769,43.093934000000004,Элит, мини-маркет,,grocery,,Элит,,
131.96899,43.118728000000004,Зелёнка, супермаркет,,grocery,,Зелёнка,,
132.01146200000002,43.230398,Молодо Зелено, мини-маркет,,grocery,,Молодо Зелено,,
131.827448,43.04534,Подножье, магазин,,grocery,,Подножье,,
131.946481,43.200057,ФИЛИН и СОВА, мини-маркет,,grocery,,ФИЛИН и СОВА,,
131.912651,43.116389,ПродЭтаж, мини-маркет,,grocery,,ПродЭтаж,,
131.898783,43.024879,7/24, мини-маркет,,grocery,,июл.24,,
131.945003,43.12076500000001,Владмаркет, мини-маркет,,grocery,,Владмаркет,,
132.095726,43.332078,Светофор, магазин,,grocery,,Светофор,,
131.923475,43.198369,Акуна Матата, мини-маркет,,grocery,,Акуна Матата,,
131.957737,43.083092,Моя Семья, мини-маркет,,grocery,,Моя Семья,,
131.895396,43.086489,Лилия, продуктовый магазин,,grocery,,Лилия,,
131.951405,43.091459,Мясной, фирменный гастроном,,grocery,,Мясной,,
131.886726,43.027898,Twenty four seven, магазин,,grocery,,Twenty four seven,,
132.040238,43.261108,Гермес, мини-маркет,,grocery,,Гермес,,
131.992962,43.370059999999995,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
132.148225,43.208495,Емар, продуктовый магазин,,grocery,,Емар,,
132.014096,43.130210999999996,Дионис, алкомаркет,,grocery,,Дионис,,
132.02543300000002,43.362941,Радиус, продуктовый дискаунтер,,grocery,,Радиус,,
131.88945,43.033003,7/24, мини-маркет,,grocery,,июл.24,,
132.24453400000002,43.378599,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.980273,43.229307,Гарант, супермаркет,,grocery,,Гарант,,
132.16161200000002,43.349915,Гурман, супермаркет,,grocery,,Гурман,,
131.998128,43.230579999999996,Квартал, мини-маркет,,grocery,,Квартал,,
132.173552,43.355127,Юлия, супермаркет,,grocery,,Юлия,,
131.85519299999999,43.085192,Мини-маркет,,grocery,,Мини-маркет,,,
132.111865,43.194851,Лазурный, супермаркет,,grocery,,Лазурный,,
132.022148,43.36316,Амбар, сеть продуктовых дискаунтеров,,grocery,,Амбар,,
132.177698,43.356633,Амбар, сеть продуктовых дискаунтеров,,grocery,,Амбар,,
132.00356599999998,43.222128999999995,Мини-маркет,,grocery,,Мини-маркет,,,
132.152725,43.344726,Евгения, Супермаркет,,grocery,,Евгения,,
132.179992,43.358184,Пионер, супермаркет,,grocery,,Пионер,,
132.032927,43.23186,Акуна Матата, мини-маркет,,grocery,,Акуна Матата,,
132.21068200000002,43.361994,Алмаз, супермаркет,,grocery,,Алмаз,,
132.105595,43.330793,Стандарт, супермаркет,,grocery,,Стандарт,,
132.02436,43.240303000000004,Викмаркет, супермаркет,,grocery,,Викмаркет,,
132.238754,43.377253,Артём, супермаркет,,grocery,,Артём,,
132.008361,43.324846,Южный, минимаркет,,grocery,,Южный,,
131.971785,43.376189000000004,Супер, мини-маркет,,grocery,,Супер,,
132.16103700000002,43.344854,Дюна, супермаркет,,grocery,,Дюна,,
132.072339,43.306193,Сотка, супермаркет,,grocery,,Сотка,,
132.108869,43.350023,Дальпико сервис, фирменный продуктовый магазин,,grocery,,Дальпико сервис,,
132.16489199999998,43.395711999999996,Tiko, мини-маркет,,grocery,,Tiko,,
132.049373,43.393659,Центральный, мини-маркет,,grocery,,Центральный,,
132.019657,43.380533,Елена, супермаркет,,grocery,,Елена,,
131.864997,43.323492,Люксмарт,,grocery,,Люксмарт,,,
132.149203,43.339255,Светлый, мини-маркет,,grocery,,Светлый,,
132.165932,43.396755,Fly shop, супермаркет,,grocery,,Fly shop,,
131.39009099999998,42.858631,Туманган, супермаркет,,grocery,,Туманган,,
131.911045,43.12614,ЯППИ, супермаркет,,grocery,,ЯППИ,,
131.912078,43.129907,Парус, сеть супермаркетов,,grocery,,Парус,,
131.920885,43.091291999999996,Реми, сеть продовольственных супермаркетов,,grocery,,Реми,,
131.90948600000002,43.093305,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.902659,43.09392800000001,Михайловский, супермаркет,,grocery,,Михайловский,,
131.92883500000002,43.112703,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
131.915505,43.125576,Фреш25, сеть супермаркетов,,grocery,,Фреш25,,
