PT_Name,PostCode,ADDRESS,street,latitude,longitude
Постамат: QIWI: ТД Славянский,690066,"Шилкинская ул., д. 10 А",Шилкинская ул.,"43,119228","131,921238"
Постамат: QIWI: Гипермаркет В-Лазер,690106,"Океанский пр-кт, д. 52 А",Океанский пр-кт,"43,129519","131,893219"
Постамат: QIWI: Торговый Центр: Экономыч,690048,"100 лет Владивостоку пр-кт, д. 32В",100 лет Владивостоку пр-кт,"43,149202","131,909916"
Постамат: PickPoint: ТЦ Фермерский Базар,690033,"Гамарника ул., д. 19, лит. 2",Гамарника ул.,"43,158051","131,918594"
Постамат: QIWI: ТЦ Зеленый угол: Реми,690037,"Адмирала Юмашева ул., д. 7Б",Адмирала Юмашева ул.,"43,126597","131,949569"
Постамат: QIWI: ТЦ Ярмарка на Крыгина: Самбери,690065,"Крыгина ул.,  д. 23",Крыгина ул.,"43,089305","131,860862"
Постамат: QIWI: ТРК Седанка Сити,690041,"Полетаева ул., д. 6",Полетаева ул.,"43,212708","131,951079"
Постамат: QIWI: Магазин Плюшкин,690109,"Нейбута ул., д. 63А",Нейбута ул.,"43,114214","131,959787"
Постамат: QIWI: ТЦ Голубиная Падь,690014,"Гоголя ул., д. 41",Гоголя ул.,"43,124171","131,905115"
Постамат: QIWI: Мой Март,690041,"Шишкина ул., д. 4",Шишкина ул.,"43,217021","131,956138"
ПВЗ: ТД Зеркальный: Пешеход,690013,"Трамвайная ул., д. 14",Трамвайная ул.,"43,111515","131,938022"
ПВЗ: Lamoda: Новоивановская,690005,"Новоивановская ул., д. 3",Новоивановская ул.,"43,111394","131,93461"
Постамат: QIWI: ТЦ Шилка,690066,"Шилкинская ул., д. 42",Шилкинская ул.,"43,119191","131,932688"
ПВЗ: PickPoint: Русская,690039,"Русская ул., д. 2А, стр 3",Русская ул.,"43,164604","131,906613"
Постамат: QIWI: Аптека Ovita.ru: Русская,690105,"Русская ул., д. 59/3",Русская ул.,"43,169378","131,925927"
Постамат: QIWI: Аптека Ovita.ru: Сахалинская 5,690080,"Сахалинская ул.,  д. 5",Сахалинская ул.,"43,096682","131,966499"
Постамат: QIWI: Аптека Ovita: Светланская 61,690091,"Светланская ул., д. 61",Светланская ул.,"43,114029","131,895636"
Постамат: QIWI: Госаптека: Окатовая,690035,"Окатовая ул.,  д. 1",Окатовая ул.,"43,098732","131,92042"
Постамат: QIWI: Аптека Ovita.ru: Светланская,690005,"Светланская ул., д. 114",Светланская ул.,"43,11212","131,926349"
Постамат: QIWI: Госаптека: Сахалинская,690092,"Сахалинская ул.,  д. 41",Сахалинская ул.,"43,092333","131,970115"
