recId,SeqNumber,seqLength,displayLatitude,displayLongitude,locationLabel,houseNumber,street,district,city,postalCode,county,state,country
0,1,1,43.14638,131.93123,"Днепровская улица 27 стр 2, Владивосток, Россия, 690062",27 стр 2,Днепровская улица,Первореченский район,Владивосток,690062,Приморский край,Дальневосточный федеральный округ,RUS
1,1,1,43.12824,131.89668,"проспект Красного Знамени 34, Владивосток, Россия, 690106",34,проспект Красного Знамени,Фрунзенский район,Владивосток,690106,Приморский край,Дальневосточный федеральный округ,RUS
2,1,1,43.10026,131.93005,"улица Вилкова 3, Владивосток, Россия, 690077",3,улица Вилкова,Первомайский район,Владивосток,690077,Приморский край,Дальневосточный федеральный округ,RUS
3,1,1,43.13618,131.92991,"Деревенская улица 20 стр 9, Владивосток, Россия, 690087",20 стр 9,Деревенская улица,Первореченский район,Владивосток,690087,Приморский край,Дальневосточный федеральный округ,RUS
4,1,1,43.09581,131.97493,"улица Добровольского 33, Владивосток, Россия, 690092",33,улица Добровольского,Первомайский район,Владивосток,690092,Приморский край,Дальневосточный федеральный округ,RUS
5,1,1,43.12748,131.92319,"улица Карла Жигура 12, Владивосток, Россия, 690088",12,улица Карла Жигура,Первореченский район,Владивосток,690088,Приморский край,Дальневосточный федеральный округ,RUS
6,1,1,43.15151,131.90988,"улица Ильичёва 21, Владивосток, Россия, 690048",21,улица Ильичёва,Первореченский район,Владивосток,690048,Приморский край,Дальневосточный федеральный округ,RUS
7,1,1,43.10333,131.89748,"улица Калинина 42, Владивосток, Россия, 690012",42,улица Калинина,Первомайский район,Владивосток,690012,Приморский край,Дальневосточный федеральный округ,RUS
8,1,1,43.17431,131.91054,"улица Кирова 36, Владивосток, Россия, 690068",36,улица Кирова,Советский район,Владивосток,690068,Приморский край,Дальневосточный федеральный округ,RUS
9,1,1,43.12896,131.93323,"улица Котельникова 13, Владивосток, Россия, 690087",13,улица Котельникова,Первореченский район,Владивосток,690087,Приморский край,Дальневосточный федеральный округ,RUS
10,1,1,43.11963,131.88438,"улица Мордовцева 3, Владивосток, Россия, 690091",3,улица Мордовцева,Фрунзенский район,Владивосток,690091,Приморский край,Дальневосточный федеральный округ,RUS
11,1,1,43.16918,131.91734,"Русская улица 27, Владивосток, Россия, 690069",27,Русская улица,Советский район,Владивосток,690069,Приморский край,Дальневосточный федеральный округ,RUS
12,1,1,43.16348,131.90637,"Русская улица 2Б, Владивосток, Россия, 690039",2Б,Русская улица,Советский район,Владивосток,690039,Приморский край,Дальневосточный федеральный округ,RUS
13,1,1,43.11346,131.91845,"Светланская улица 147, Владивосток, Россия, 690001",147,Светланская улица,Ленинский район,Владивосток,690001,Приморский край,Дальневосточный федеральный округ,RUS
14,1,1,43.11253,131.93541,"Светланская улица 152, Владивосток, Россия, 690005",152,Светланская улица,Ленинский район,Владивосток,690005,Приморский край,Дальневосточный федеральный округ,RUS
15,1,1,43.09575,131.86262,"улица Стрельникова 4, Владивосток, Россия, 690065",4,улица Стрельникова,Фрунзенский район,Владивосток,690065,Приморский край,Дальневосточный федеральный округ,RUS
16,1,1,43.10186,131.94162,"улица Борисенко 9, Владивосток, Россия, 690016",9,улица Борисенко,Первомайский район,Владивосток,690016,Приморский край,Дальневосточный федеральный округ,RUS
